PERIOD,SITE_REFERENCE,UPRN,LA_REFERENCE,EASTING,NORTHING,SAO_DESCRIPTION,PAO_DESCRIPTION,STREET_DESCRIPTION,LOCALITY_DESCRIPTION,TOWN_DESCRIPTION,POSTCODE,AUTHORITY,COUNTY,REGION,AREA,LANDTYPE,PREVIOUS_LAND_USE,CURRENT_LAND_USE,PLANNING_STATUS,PROPOSED_USE,HOUSING_SUITABILITY,MOST_SUITABLE_USE,EST_HOUSING_CAPACITY,HOUSING_DENSITY,OWNERSHIP,GENERAL_SITE_INFORMATION
2007,530000477,,207137153,531971,196766,,79,WINDMILL HILL,,ENFIELD,EN2 7AF,Enfield,G. London,London,0.400,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Shops,Shops,Outline Planning Permission,Other,Yes,Dont't know,31,77,Don't know,31/03/06 - application for change of use to use part of property as a hand car wash facility granted.  15/08/06 - pre-application advice for redevelopment for 31 sheltered housing flats.
2007,530000543,,207053004,535098,192810,,SITE,GIBBS ROAD,,ENFIELD,N18 3PU,Enfield,G. London,London,0.970,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Manufacturing,Allocated in Local Plan,Employment,No,Other,0,0,Local Authority,
2007,530000546,,207143650,535483,198807,,PROPERTY AND LAND TO THE REAR OF 13 TO 21,GILBERT STREET,,ENFIELD,EN3 6PD,Enfield,G. London,London,0.850,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Storage,Outline Planning Permission,Housing,Yes,Housing,26,31,Private,TP/03/1678 erection of a two-storey block of eight flats (comprising 2 x one-bed and 6 x two-bed) with accommodation in roof space involving two front dormers and one side dormer and vehicular access from Gilbert Street and associated car parking
2007,530000548,,207158692,527735,197316,,369,COCKFOSTERS ROAD,HADLEY WOOD,BARNET,EN4 0JT,Enfield,G. London,London,0.720,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Dwellings,Detailed Planning Permission,Housing,Yes,Housing,5,7,Private,TP/03/1067 erection of two 5-bed detached single family dwelling houses with detached garages.
2007,530000552,,207196582,536940,197423,15 UNIT 2,BROWNES COMMERCIAL ESTATE,EDISON ROAD,,ENFIELD,EN2 7BY,Enfield,G. London,London,0.310,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Manufacturing,Detailed Planning Permission,Employment,Don't know,Employment,0,0,Private,TP/02/0784 Permission for redevelopment of site for use as a highway maintenance depot involving temporary office block open storage areas for plant and materials car parking
2007,530000560,,05/1737,531145,198014,TRUST HEADQUARTERS SITE PHASE C,CHASE FARM HOSPITAL,THE RIDGEWAY,,ENFIELD,EN2 8JR,Enfield,G. London,London,0.171,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,COMMUNITY SERVICES,Community Services,Outline Planning Permission,Housing,Yes,Housing,12,70,Don't know,
2007,530000561,,05/1740,534852,194541,THE PRIMARY CARE CENTRE,2,ST JOSEPHS ROAD,,ENFIELD,N9 8NL,Enfield,G. London,London,0.210,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,COMMUNITY SERVICES,Community Services,Detailed Planning Permission,Housing,Yes,Housing,45,214,Other Public,
2007,530000562,,05/1391,531887,196578,,19 TO 25,WAVERLEY ROAD,,ENFIELD,EN2 7BP,Enfield,G. London,London,0.200,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,RESIDENTIAL,RESIDENTIAL,Outline Planning Permission,Housing,Yes,Housing,17,85,Private,
2007,530000565,,,531951,197051,,8,BYCULLAH AVENUE,,ENDFIELD CHASE,EN2 8DW,Enfield,G. London,London,0.141,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,RESIDENTIAL,RESIDENTIAL,Detailed Planning Permission,Housing,Yes,Housing,12,85,Private,
2007,530000566,,04/1378,531350,197506,ARNOLD HOUSE,66,THE RIDGEWAY,,ENFIELD,EN2 8JA,Enfield,G. London,London,0.530,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,RESIDENTIAL,RESIDENTIAL,Outline Planning Permission,Housing,Yes,Housing,15,28,Private,
2007,530000568,,06/1687,531358,198038,,CHASE FARM HOSPITAL SITE A,THE RIDGEWAY,,ENFIELD,EN2 8JR,Enfield,G. London,London,0.400,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,COMMUNITY SERVICES,Community Services,Detailed Planning Permission,Housing,Yes,Housing,24,60,Don't know,
2007,530000569,,05/1862,529546,195099,,LAND AT GWALIOR HOUSE,CHASE ROAD,,ENFIELD,N14,Enfield,G. London,London,0.530,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,RESIDENTIAL,RESIDENTIAL,Outline Planning Permission,Housing,Yes,Housing,14,26,Don't know,
2007,530000570,,06/2169,537222,198685,THE RIFLES PUBLIC HOUSE,600,ORDNANCE ROAD,,ENFIELD,EN3 6JQ,Enfield,G. London,London,0.450,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,RETAIL,Public houses & bars,Detailed Planning Permission,Housing,Yes,Housing,23,51,Private,
2007,530000571,,06/2172,529363,194858,REGAL HOUSE,27,OLD FARM AVENUE,,OAKWOOD,N14 5QR,Enfield,G. London,London,0.130,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Residential institutions,Residential institutions,Detailed Planning Permission,Housing,Yes,Housing,14,108,Don't know,
2007,530000573,,07/0048,533102,192570,THE TWO BREWERS PUBLIC HOUSE,196,SILVER STREET,,ENFIELD,N18 1QY,Enfield,G. London,London,0.100,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,RETAIL,Public houses & bars,Detailed Planning Permission,Housing,Yes,Housing,10,100,Private,
2007,530000575,,05/2030,536439,197987,,83,BILTON WAY,,ENFIELD,EN3 7NF,Enfield,G. London,London,0.460,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,INDUSTRY AND BUSINESS,INDUSTRY & BUSINESS,Detailed Planning Permission,Employment,No,Employment,0,0,Don't know,
2007,533000009,,01/0378,540425,178780,,LAND ADJACENT BROCKLEBANK INDUSTRIAL ESTATE,BUGSBYS WAY,CHARLTON,GREENWICH,SE7,Greenwich,G. London,London,0.762,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Vacant land,UNUSED LAND,PP subject to further legal agreement ,Retail,No,Employment,0,0,Don't know,UDP DEFINED INDUSTRIAL AREA
2007,533000011,,mu30 2006 UDP PP 06/1749/F,539075,178375,,LOVELLS GRANITE AND BADCOCKS WHARVES,PELTON ROAD AND CHRISTCHURCH WAY,EAST GREENWICH,LONDON,SE10,Greenwich,G. London,London,4.138,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Transport terminals and interchanges,UNUSED LAND,Allocated in Local Plan,Mixed with Housing,Yes,Mixed,250,60,Private,WHARF DE-SAFEGUARDED. PP granted 20/02/07 for redevelopment for mixed-use comprising offices workshops hotels 667 residential units retail restaurant/care/bar boatyards/club ecological centre medical/health & sport. INCOPORATES FORMER NLUD SITE 5330 00132
2007,533000015,,Site j12 2006 UDP,540500,178475,,FORMER HARVEYS BUILDING,RAMAC WAY,CHARLTON,GREENWICH,SE7,Greenwich,G. London,London,0.830,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Vacant land,UNUSED LAND,Allocated in Local Plan,Employment,No,Employment,0,0,Private,UDP Description: May be affected by Waterfront Transit route. Scope to referbish/redevelope adjoining Ramac Industrial Estate.
2007,533000019,,Site j10 2006 UDP,540245,179020,EMPLOYMENT LAND REMAINING AT 1 APR 2006,NORTH OF BUSGBYS WAY,HORN LANE,GREENWICH PENINSULA,GREENWICH,SE10,Greenwich,G. London,London,1.160,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Vacant land,UNUSED LAND,Outline Planning Permission,Employment,No,Employment,0,0,Other Public,Buffer strip bewteen Greenwich Millennium Village (part of PHASE 3-5) and designated and operational Aggregates Zone. Proposed offices & light industry with a floorspace of 5640m_ .  Temporary works storage 9/2006.
2007,533000022,,02/0063 Site cb3 2006 UDP,546400,180900,CENTRAL AREA 4 NORTH,THAMESMEAD TOWN CENTRE,THAMESMEAD DRIVE,THAMESMEAD,GREENWICH,SE28,Greenwich,G. London,London,0.620,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Vacant land,UNUSED LAND,Allocated in Local Plan,Mixed with Housing,Yes,Mixed,53,85,Other Public,
2007,533000030,,Site j16 (2006 UDP) & 01/2523/O,544880,179025,PHASE 2,SITE ADJACENT PLUMSTEAD BUS GARAGE,PETTMAN CRESCENT,THAMESMEAD,GREENWICH,SE28,Greenwich,G. London,London,1.642,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Vacant land,UNUSED LAND,Outline Planning Permission,Other,No,Other,0,0,Private,PLANNING APPLICATION FOR HOTEL IN 2001 PHASE 1 TRADE PARK COMPLETED 2004
2007,533000032,,,540935,175994,FORMER ALLOTMENTS,LAND ADJACENT THOMAS TALLIS SCHOOL,KIDBROOKE PARK ROAD,KIDBROOKE,GREENWICH,SE3,Greenwich,G. London,London,0.700,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,UNUSED LAND,UNUSED LAND,Allocated in Local Plan,Housing,Yes,Housing,28,40,Local Authority,METROPOLITAN OPEN LAND being reconfigured within the KIDBROOKE MASTERPLAN AREA
2007,533000033,,part mu38 (2006 UDP)  PP 06/2007/OT,543050,177100,REAR BUILDINGS,ROYAL MILITARY ACADEMY,ACADEMY ROAD,WOOLWICH COMMON,GREENWICH,SE18,Greenwich,G. London,London,2.168,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Defence,DEFENCE,Allocated in Local Plan,Housing,Yes,Housing,120,55,Other Public,CROWN/MOD GRADE 2 LISTED BUILDING FOR CONVERSION SEE 5330 00060 FOR THE SOUTHERN PART OF THIS SITE. PP 06/2007/OT approved 11-10-06. Proposed mixed-use development of 346 residential units commercial & community use & car parks
2007,533000039,,03/0150,545358,180156,PHASE 2 THE REACH LOCAL CENTRE,GALLIONS REACH URBAN VILLAGE,WAREPONT DRIVE,THAMESMEAD,GREENWICH,SE28,Greenwich,G. London,London,0.677,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Vacant land,UNUSED LAND,Outline Planning Permission,Mixed with Housing,Yes,Mixed,68,100,Private,Remediated land ready for development.Only small area left that is undeveloped - indicated at on the Proposals Map as a 'red star' which is for a proposed Local Centre.
2007,533000041,,mu40  (2006 UDP)  PP 03/2618/O 26.05.2006,545800,180800,,TRIPCOCK POINT,NORTH OF CENTRAL WAY SOUTH OF RIVER THAMES,THAMESMEAD,GREENWICH,SE28,Greenwich,G. London,London,24.000,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Vacant land,UNUSED LAND,Outline Planning Permission,Mixed with Housing,Yes,Mixed,2000,83,Other Public,VACANT  cleared and remediated  [FORMER MUNITIONS TESTING] AREA INCLUDING PLANNED OPEN SPACE IS 28 HECATRES
2007,533000045,,Part of Site mu14   2006 UDP,543950,178785,,FORMER NURSERY SITE AND VACANT BACKLAND,60 SPRAY STREET AND REAR OF 26 AND 28 PARRY PLACE,WOOLWICH,GREENWICH,SE18 6AG,Greenwich,G. London,London,0.289,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Derelict,UTILITIES & INFRASTRUCTURE,Allocated in Local Plan,Housing,Yes,Mixed,43,149,Local Authority,Site of tnnel portal for DLR EXTENSION TO WOOLWICH MAINLINE STATION. DLR UNDER CONSTRUCTION 2006.  Developable post 2008
2007,533000046,,mu22 (2006 UDP) 02~2903 MDL Masterplan,539450,179390,FORMER MILLENNIUM DOME STORAGE AREA,BLACKWALL LANE,WEST PARKSIDE,GREENWICH PENINSULA,GREENWICH,SE10,Greenwich,G. London,London,9.410,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Vacant land,UNUSED LAND,Outline Planning Permission,Mixed with Housing,Yes,Mixed,3000,319,Other Public,GREENWICH PENINSULA MDL CONSORTIUM POSSIBLE THAMES CROSSING.   Land remediated and developable
2007,533000047,,Site j9 (2006 UDP) 02~2903 MDL masterplan,539430,179210,EMPLOYMENT SITES,BOORD STREET OFF, MILLENNIUM WAY,GREENWICH PENINSULA,GREENWICH,SE10,Greenwich,G. London,London,4.780,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Vacant land,UNUSED LAND,Outline Planning Permission,Employment,No,Employment,0,0,Other Public,GREENWICH PENINSULA MDL CONSORTIUM OUTLINE PP 18600 SQM B1C remediated and developable. Outline permission 02/2903 lapsed 23/02/2007.
2007,533000051,,Site mu3 2006 UDP,538400,177550,,STOCKWELL STREET SITE,STOCKWELL STREET,GREENWICH,GREENWICH,SE10 9JN,Greenwich,G. London,London,0.770,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Offices,Allocated in Local Plan,Mixed with Housing,Yes,Mixed,120,156,Private,9/2006 revised application pending. UPD description: Site is located within the Maritime Greenwich World Heritage Site and in a Conservation area.
2007,533000054,,Site mu9 (2006 UDP),543600,179050,,MACBEAN STREET SITE,BERESFORD STREET MACBEAN STREET,WOOLWICH,GREENWICH,SE18,Greenwich,G. London,London,1.060,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Education,Allocated in Local Plan,Mixed with Housing,Yes,Retail,63,60,Local Authority,No change from 2006 audit.  UDP description: Development should complement and form an activity link between Powis Street and the leisure/tourism uses in Warren Lane and the Royal Arsenal.
2007,533000055,,mu8 (2006 UDP),543440,179150,,CALLIS YARD DEPOT,BUNTON STREET,WOOLWICH,GREENWICH,SE18,Greenwich,G. London,London,0.250,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Storage,Allocated in Local Plan,Mixed with Housing,Don't know,Dont't know,9,36,Local Authority,Currently being marketed as a mixed-use development.
2007,533000056,,Site mu10 (2006 UDP),543300,179150,,HARE STREET MORTGRAMMIT SQUARE AND CO OP SITES,HARE STREET,WOOLWICH,GREENWICH,SE18,Greenwich,G. London,London,1.272,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Shops,Allocated in Local Plan,Mixed with Housing,Yes,Dont't know,78,61,Private,SITE ASSEMBLY.  SITE CLEARANCE OR BUILDING RE-USE WILL BOTH BE EXPENSIVE
2007,533000057,,Site mu23 (2006 UDP),539690,179530,FORMER MILLENNIUM DOME COACH PARKING,LAND BETWEEN RIVER THAMES AND,EAST PARKSIDE,GREENWICH PENINSULA,GREENWICH,SE10,Greenwich,G. London,London,8.440,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Vacant land,UNUSED LAND,Detailed Planning Permission,Mixed with Housing,Yes,Housing,2700,320,Other Public,GREENWICH PENINSULA MDL CONSORTIUM POSSIBLE THAMES CROSSING   Fully remediated and ready to develop. 2.1 ha of the northern portion of the site is occupied by David Beckham indoor football academy pp 05~0134 temporary use for five years - 31 Mar 2005
2007,533000060,,part mu38 (2006 UDP) PP 06/2007/OT,543050,177300,BUILDINGS NORTH OF INTERNAL EAST WEST ACCESS ROAD,ROYAL MILITARY ACADEMY,ACADEMY ROAD,WOOLWICH COMMON,GREENWICH,SE18,Greenwich,G. London,London,3.305,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,RESIDENTIAL,Defence,Allocated in Local Plan,Mixed with Housing,Yes,Housing,132,40,Other Public,CURRENTLY IN MILITARY USE but proposed for MOD disposal. INCLUDES GRADE 2 LISTED CHAPEL        SEE ALSO SITE 5330 00033. PP 06/2007/OT granted 11-10-06. Proposed mixed-use development of 346 residential units commercial & community use & car parks
2007,533000133,,mu21  (2006 UDP) 02~2903 MDL,538870,179750,,DELTA BLACKWALL WHARF,TUNNELL AVENUE,GREENWICH PENINSULA,GREENWICH,SE10,Greenwich,G. London,London,9.860,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Storage,Outline Planning Permission,Mixed with Housing,Yes,Mixed,2800,284,Private,GREENWICH PENINSULA MDL CONSORTIUM SITE INCLUDES NORTH OF VICTORIA DEEP WATER TERMINAL (safeguarding removed on this part of the wharf)Still used for aggregate crushing. Future use for high density residential
2007,533000134,,mu19 (2006 UDP)        02~2903/O,539900,180100,,MILLENNIUM DOME AND LAND ADJOINING,MILLENNIUM WAY,GREENWICH PENINSULA,GREENWICH,SE10,Greenwich,G. London,London,16.540,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Vacant buildings,RECREATION & LEISRE,Outline Planning Permission,Other,No,Other,0,0,Other Public,GREENWICH PENINSULA MDL CONSORTIUM ANSCHULTZ ENTERTAINMENT GROUP SPORTS ARENA. O2 Arena opened in 2007.    Land outside Dome is vacant and remediated awaiting development.
2007,533000135,,Site mu20 (2006 UDP) 07/1238/F,539330,179840,PENINSULA CENTRAL BUSINESS DISTRICT SITE,LAND ADJOINING NORTH GREENWICH STATION, EDMOND HALLEY WAY,GREENWICH PENINSULA,GREENWICH,SE10,Greenwich,G. London,London,19.720,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Car parks,UNUSED LAND,Detailed Planning Permission,Mixed without Housing,Yes,Mixed,1500,76,Other Public,PP granted on 29/8/07 for development of Ravensbourne College on Plot No.203 adjacent to the south of 'O2' Arena consisting of. 14203sq.m of educational floorspace.818sq.m retail floorspace.
2007,533000136,,Site  j11 (2006 UDP),542150,179100,,JUNCTION OF RUSTON ROAD AND,WOOLWICH ROAD,WOOLWICH,LONDON,SE18,Greenwich,G. London,London,0.401,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Manufacturing,UNUSED LAND,Allocated in Local Plan,Employment,No,Employment,0,0,Private,UDP Description: Small corner site wesr of Co-op funeral parlour on Woolwich Road roundabout providing access to industrial site uses in Warspite Road; residental and industrial uses under constructuion in Ruston Road.
2007,533000143,,Site j15 2006 UDP,544945,178905,,4 TO 40,NATHAN WAY,THAMESMEAD,LONDON,SE28,Greenwich,G. London,London,0.521,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,DEFENCE,UNUSED LAND,Allocated in Local Plan,Employment,No,Employment,0,0,Other Public,MILD CONTAMINATION SUITABLE FOR ANY B CLASS USE
2007,533000145,,Site mu18 [2006 UDP],537750,177635,,MERIDIAN GATEWAY SITE,CREEK ROAD AND COPPERAS STREET,DEPTFORD CREEK,LONDON,SE8  3,Greenwich,G. London,London,1.370,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Manufacturing,Allocated in Local Plan,Mixed with Housing,Yes,Dont't know,491,358,Private,PP 06/2062 Submitted for Redevelopment for mixed use proposes to provide 380 residential dwellings & commercial floorspace
2007,533000148,,Site mu17 (2006 UDP) 05/1222 pending,538135,177680,LAND AT BARDSLEY LAND AND,258 TO 310,CREEK ROAD,,,SE10,Greenwich,G. London,London,0.635,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,UNUSED LAND,Allocated in Local Plan,Mixed with Housing,Yes,Mixed,47,75,Local Authority,SITE ASSEMBLY REQUIRED PARTLY  PRIVATELY OWNED
2007,533000150,,Site mu27 (2006 UDP),543500,178850,WOOLWICH CAMPUS,UNIVERSITY OF GREENWICH,POLYTECHNIC STREET,,,SE10,Greenwich,G. London,London,1.130,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Education,Offices,Allocated in Local Plan,Mixed with Housing,Yes,Mixed,75,66,Private,Part of the western end of the block is Grade II listed.  Residual education use only part vacant partly in use for office religious retail pending longer term consideration.
2007,533000153,,Site mu37 (2006 UDP),543445,179285,BELL WATER GATE,WATERFRONT LEISURE CENTRE CARPARK,WOOLWICH HIGH STREET,WOOLWICH,LONDON,SE18 6D,Greenwich,G. London,London,0.744,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Car parks,Allocated in Local Plan,Mixed with Housing,Yes,Mixed,74,100,Local Authority,UDP description: Refer to Woolwich Town Centre Development Framework. Riverside walk to be maintained.
2007,533000154,,Site mu36 (2006 UDP),543280,179040,COUNCIL BUILDING AND CARPARK SOUTH SIDE,125 TO 151,POWIS STREET,WOOLWICH,LONDON,SE18 6JL,Greenwich,G. London,London,0.872,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Offices,Allocated in Local Plan,Mixed with Housing,Yes,Retail,44,50,Don't know,COUNCIL OWN CARPARK AND LEASE BUILDINGS
2007,533000155,,Site mu26 (2006 UDP) EP site.,539600,178185,FORMER GREENWICH DISTRICT HOSPITAL,WOOLWICH ROAD,CORNER WITH VANBRUGH HILL,,EAST GREENWICH,SE10 9HQ,Greenwich,G. London,London,2.850,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Medical and health care services,UNUSED LAND,Allocated in Local Plan,Mixed with Housing,Yes,Mixed,143,50,Other Public,English Partnerships site.   Density estimate 75 dw/ha qs per draft PPS3 minimum standard for London less one third as mixed use (housing trajectory methodology). Application expected by end of 2007.
2007,533000156,,UDP Site h1 (2006),547197,179318,ENCLOSED FIELD TO THE WEST OF,GALLIONS HOUSING ASSOCIATION OFFICES,HARROW MANORWAY,ABBEY WOOD,GREENWICH,SE2 9XH,Greenwich,G. London,London,1.120,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unused land,Unused Land,Allocated in Local Plan,Housing,Yes,Housing,84,75,Other Public,LANDLOCKED.   DEVELOPMENT MOST LIKELY IN CONJUNCTION WITH GALLIONS OFFICES ADJOINING
2007,533000157,,mu35 2006 UDP 06/1751,543355,178626,PEGGY MIDDLETON HOUSE AND SURROUNDING SITE,50,WOOLWICH NEW ROAD,WOOLWICH,WOOLWICH,SE18 6HQ,Greenwich,G. London,London,2.810,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,INDUSTRY AND BUSINESS,Offices,Allocated in Local Plan,Mixed with Housing,Yes,Mixed,960,885,Local Authority,Oultine Planning permission granted Summer 2007. Demolition of buildings along Wellington Street commenced Autumn 2007.
2007,536000030,,2002/0605,532461,183450,,48 TO 48A,EAGLE WHARF ROAD,HACKNEY,LONDON,N1 7ED,Hackney ,G. London,London,0.500,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Manufacturing,Detailed Planning Permission,Employment,No,Dont't know,0,0,Private,
2007,536000046,,UDP 111,537332,184979,,HACKNEY STADIUM,WATERDEN ROAD AND EASTWAY,HACKNEY,LONDON,E15 2HN,Hackney ,G. London,London,4.800,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Indoor sports facilities,Allocated in Local Plan,Employment,Don't know,Dont't know,0,0,Private,
2007,536000048,,UDP 103,535939,186256,,POWER STATION,MILLFIELDS ROAD,HACKNEY,LONDON,E5 0AR,Hackney ,G. London,London,1.900,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Manufacturing,Allocated in Local Plan,Employment,Don't know,Dont't know,0,0,Private,"HEAVY METALS CONTAMINATION, PROXIMITY OF EXISTING OPERATIONAL USES, RESIDENTIAL ONLY AS PART OF A MIXED USE SCHEME"
2007,536000113,,UDP133,532957,182337,CAR PARK,CLERE STREET LEONARD STREET PAUL STREET,DESIGNATED STREET NAME,HACKNEY,LONDON,EC2A 4LJ,Hackney ,G. London,London,0.630,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Car parks,Allocated in Local Plan,Employment,No,Dont't know,0,0,Private,
2007,536000114,,UDP134,532421,182837,FORMER SAINT MATTHEWS HOSPITAL,CAR PARK,SHEPHERDESS WALK,HACKNEY,LONDON,ECIV 1JT,Hackney ,G. London,London,0.300,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Car parks,Allocated in Local Plan,Employment,Don't know,Dont't know,0,0,Private,RESIDENTIAL ONLY AS  LIVE WORK UNITS
2007,536000116,,UDP138,533537,182199,,FORMER BISHOPSGATE GOODS YARD,SHOREDITCH HIGH STREET,HACKNEY,LONDON,E1 6PD,Hackney ,G. London,London,1.100,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Car parks,Detailed Planning Permission,Other,No,Dont't know,0,0,Private,To be developed by London Underground for East London Line extension (ELLX).
2007,536000122,,2006/0201,532582,182765,,EAGLE HOUSE,161 CITY ROAD,HACKNEY,LONDON,EC1 1NR,Hackney ,G. London,London,0.400,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Manufacturing,PP subject to further legal agreement ,Mixed with Housing,No,Dont't know,278,869,Private,DEFINED EMPLOYLMENT AREA
2007,536000136,,PSI 1,532604,183572,,213,NEW NORTH ROAD,HACKNEY,LONDON,N1 6SU,Hackney ,G. London,London,0.300,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Storage,Allocated in Local Plan,Employment,Don't know,Dont't know,0,0,Private,RESIDENTIAL ONLY AS PART OF MIXED USE SCHEME
2007,536000137,,UDP130,533418,182320,,5 TO 13,HOLYWELL LANE,HACKNEY,LONDON,EC2A 3ET,Hackney ,G. London,London,0.250,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Offices,Allocated in Local Plan,Employment,Don't know,Dont't know,0,0,Private,
2007,536000159,,2005/1786,535212,184819,,BURBERRY SITE,CHATHAM PLACE,HACKNEY,LONDON,,Hackney ,G. London,London,0.403,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Manufacturing,Detailed Planning Permission,Mixed with Housing,Don't know,Dont't know,173,560,Private,Planning Application has been granted for Mixed Use development
2007,536000160,,2001/1894,535228,186914,,LATHAMS YARD,MOUNT PLEASANT HILL,HACKNEY,LONDON,,Hackney ,G. London,London,1.700,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Storage,Outline Planning Permission,Mixed with Housing,Yes,Mixed,682,401,Private,
2007,536000161,,2006/0886,533648,184756,,FORMER CLUB AND ADJACENT GOVERNMENT OFFICES,DALSTON LANE,HACKNEY,LONDON,,Hackney ,G. London,London,0.478,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Indoor sports facilities,PP subject to further legal agreement ,Mixed with Housing,Yes,Mixed,244,510,Don't know,
2007,536000166,,Olympic Park,537331,185173,,KICC,57 WATERDEN ROAD,HACKNEY,LONDON,,Hackney ,G. London,London,1.175,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Places of Worship,With Draft Allocation,Other,No,Dont't know,0,0,Private,Part of 2012 Olympic park
2007,536000168,,,533583,184846,,LAND BOUNDED BY,DALSTON LANE AND KINGSLAND HIGH ST AND ASHWIN ST,HACKNEY,LONDON,,Hackney ,G. London,London,1.417,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Shops,Allocated in Local Plan,Retail,Don't know,Mixed,0,0,Private,
2007,536000170,,,533339,183769,,CLUSTER SITE AROUND,2 TO 10 HERTFORD RD AND 42 TO 48 DE BEAUVOIR CRESCENT,HACKNEY,LONDON,,Hackney ,G. London,London,0.712,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Manufacturing,Allocated in Local Plan,Employment,Don't know,Dont't know,0,0,Don't know,
2007,539000045,,,523600,176700,,FULHAM FC,STEVENAGE ROAD,,LONDON,SW6 6HH,Hammersmith and Fulham,G. London,London,2.600,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,RECREATION & LEISRE,Allocated in Local Plan,Mixed with Housing,Yes,Other,16,20,Private,CURTAILAGE OF FOOTBALL GROUND. PLANNING PERMISSION SUBJECT TO S106. APPLICATION TO INCREASE SEATING 2007/03866/FUL- WAITING DECISION
